tm,stnId,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,maxWs,maxWsWd,maxInsWs,maxInsWsWd,avgRhm,minRhm,minRhmHrmt,avgCm10Te,avgCm20Te,avgCm30Te,avgCm5Te,avgLmac,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,avgPa,avgPs,avgPv,avgTca,avgTd,avgTs,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,hr1MaxIcsr,hr1MaxIcsrHrmt,hr1MaxRn,hr1MaxRnHrmt,hr24SumRws,iscs,maxInsWsHrmt,maxPs,maxPsHrmt,maxTaHrmt,maxWd,maxWsHrmt,mi10MaxRn,mi10MaxRnHrmt,minPs,minPsHrmt,minTaHrmt,minTg,n99Rn,ssDur,sumDpthFhsc,sumFogDur,sumGsr,sumLrgEv,sumRnDur,sumSmlEv,sumSsHr
2025-09-28,211,인제,17.2,15.4,19.5,22.1,0.8,2.0,360,3.9,320,91.8,81,1621,,,,,7.3,,,,,,987.5,1011.1,17.9,8.3,15.7,19.7,,,,,,,8.4,1015,651,,1210,1016.4,0001,1605,230,1211,1.7,1045,1008.3,1601,0651,13.2,,11.9,,,,,,,0.0
2025-09-29,211,인제,17.6,13.1,24.6,,0.8,2.1,360,4.2,320,81.5,45,1526,,,,,2.8,,,,,,989.6,1013.1,16.0,4.9,14.0,20.6,,,,,,,,,693,,1825,1015.5,2332,1531,340,2009,,,1010.8,0005,2359,10.3,,11.9,,,,,,,5.0
2025-09-30,211,인제,16.3,12.5,23.2,,1.0,2.3,200,4.8,200,85.0,61,1528,,,,,3.3,,,,,,990.1,1013.8,15.7,5.6,13.6,20.4,,,,,,,,,856,,1528,1016.1,0752,1458,20,1353,,,1010.8,1513,0531,10.3,,11.8,,,,,,,1.7
2025-10-01,211,인제,18.3,15.4,23.2,,1.0,3.4,200,6.9,110,82.0,55,1332,,,,,3.0,,,,,,990.7,1014.2,16.9,5.8,14.8,21.1,,,,,,,,,825,,1330,1016.5,2237,1230,200,1359,,,1012.1,1523,2400,12.2,,11.8,,,,,,,3.6
2025-10-02,211,인제,18.7,14.8,26.7,,0.9,1.8,50,3.7,20,80.3,44,1453,,,,,2.5,,,,,,994.9,1018.5,16.7,6.4,14.7,21.4,,,,,,,,,764,,1459,1020.8,2339,1451,50,1500,,,1016.1,1442,0057,12.2,,11.8,,,,,,,5.0
2025-10-03,211,인제,18.4,14.4,23.4,0.0,1.7,3.6,50,7.2,20,80.1,58,1457,,,,,3.6,,,,,,994.5,1018.1,16.7,8.5,14.6,19.8,,,,,,,0.0,,1449,,1216,1020.9,0749,1329,50,1224,0.0,,1015.8,2400,0539,13.2,,11.7,,,,,,,0.5
2025-10-04,211,인제,19.7,17.1,24.0,0.1,1.8,3.6,20,7.5,20,82.0,65,1541,,,,,5.1,,,,,,991.4,1014.8,18.6,7.6,16.4,21.6,,,,,,,0.1,,1564,,1430,1016.1,0012,1613,50,1542,0.1,,1013.1,1419,0653,16.0,,11.7,,,,,,,1.1
2025-10-05,211,인제,18.8,16.5,23.6,1.1,0.9,2.2,20,4.2,20,89.5,68,1325,,,,,5.0,,,,,,991.7,1015.2,19.3,10.0,16.9,20.9,,,,,,,0.7,1529,800,,0422,1016.6,0905,1303,20,1704,0.7,1619,1012.8,1341,0416,15.3,,11.7,,,,,,,0.2
2025-10-06,211,인제,15.8,13.9,18.3,20.4,2.3,4.3,20,9.1,20,88.0,78,1203,,,,,7.4,,,,,,995.2,1019.1,15.8,10.0,13.7,18.2,,,,,,,4.5,1813,2023,,2336,1020.9,1939,0001,50,0441,1.0,1853,1015.9,0001,1848,13.4,,11.6,,,,,,,0.0
2025-10-07,211,인제,16.7,14.9,18.7,7.0,1.9,3.1,50,6.8,50,93.9,87,1449,,,,,6.5,,,,,,993.7,1017.4,17.7,9.6,15.6,18.6,,,,,,,1.4,606,1650,,0042,1019.3,0002,1450,50,0002,0.5,231,1015.3,1600,0240,14.5,,11.6,,,,,,,0.0
2025-10-08,211,인제,19.3,15.9,25.5,,1.0,3.0,50,5.5,90,78.3,48,1444,,,,,4.4,,,,,,994.3,1017.8,17.0,5.8,15.0,21.2,,,,,,,,,904,,1508,1020.2,2346,1425,20,1455,,,1015.0,1518,0438,14.1,,11.5,,,,,,,8.3
2025-10-09,211,인제,16.0,13.7,17.8,1.0,2.6,5.4,20,10.9,20,79.0,68,1133,,,,,9.5,,,,,,997.8,1021.7,14.3,9.8,12.2,18.1,,,,,,,0.6,2212,2275,,0946,1023.3,0913,1130,20,0947,0.2,,1020.0,0001,2250,13.2,,11.5,,,,,,,0.0
2025-10-10,211,인제,14.9,13.7,16.6,25.4,1.4,2.8,50,4.9,50,95.9,94,1207,,,,,6.3,,,,,,995.4,1019.3,16.3,10.0,14.2,17.6,,,,,,,2.5,1044,1180,,2306,1022.2,0001,1606,50,2316,0.6,1012,875.0,1617,0001,13.5,,11.4,,,,,,,0.0
2025-10-11,211,인제,16.4,14.0,18.6,22.6,0.6,3.0,70,5.1,50,97.8,95,0001,,,,,7.8,,,,,,989.0,1012.7,18.3,9.5,16.0,18.1,,,,,,,4.7,2224,501,,0038,1018.0,0001,2324,50,0037,2.0,2300,1010.0,1943,0440,13.9,,11.4,,,,,,,0.0
2025-10-12,211,인제,16.8,15.5,18.6,,1.8,4.0,50,7.9,20,85.0,76,1016,,,,,8.9,,,,,,991.4,1015.1,16.2,9.5,14.2,17.9,,,,,,,,,1561,,0933,1017.6,2226,0042,50,0937,,,1010.1,0024,2320,14.8,,11.4,,,,,,,0.0
2025-10-13,211,인제,12.8,11.7,15.5,26.1,2.2,4.0,20,9.3,50,92.4,85,1220,,,,,8.0,,,,,,994.1,1018.2,13.6,10.0,11.5,15.1,,,,,,,4.3,1511,1901,,1311,1019.6,2120,0001,50,1314,1.2,1631,1016.4,0352,2141,11.5,,11.3,,,,,,,0.0
2025-10-14,211,인제,15.3,12.0,18.2,0.1,2.7,4.4,20,9.7,20,84.4,72,1347,,,,,7.6,,,,,,995.9,1019.8,14.6,7.6,12.5,16.2,,,,,,,0.1,,2304,,1203,1022.8,2222,1344,50,1137,0.1,,1018.0,0404,0001,11.7,,11.3,,,,,,,0.0
2025-10-15,211,인제,16.5,12.4,21.6,2.2,1.4,3.7,20,8.3,20,84.4,60,1052,,,,,4.6,,,,,,996.9,1020.7,15.6,6.6,13.6,18.8,,,,,,,1.5,1942,1250,,1157,1023.5,0833,1236,20,1126,0.5,1948,1018.1,2320,0504,8.5,,11.2,,,,,,,2.7
2025-10-16,211,인제,16.9,13.7,21.1,3.3,2.2,5.5,20,11.1,50,83.5,64,1201,,,,,4.8,,,,,,996.8,1020.6,15.8,6.4,13.8,18.6,,,,,,,2.1,18,1933,,1642,1025.3,2144,1159,50,1227,0.5,21,1016.5,0437,2357,10.7,,11.2,,,,,,,1.1
2025-10-17,211,인제,16.9,13.3,21.7,5.5,1.2,3.1,50,5.0,50,83.1,62,1254,,,,,5.4,,,,,,998.1,1021.9,15.8,6.6,13.7,18.9,,,,,,,2.5,2151,1062,,1203,1026.5,0838,1517,50,1207,0.8,2158,1017.5,2341,0700,11.1,,11.2,,,,,,,3.5
2025-10-18,211,인제,14.7,12.4,17.2,8.9,1.6,5.0,20,8.3,20,85.4,73,1526,,,,,8.0,,,,,,996.5,1020.5,14.3,9.3,12.2,17.0,,,,,,,2.1,342,1373,,1317,1025.6,2318,1147,50,1322,0.6,352,1015.9,0319,2355,10.8,,11.1,,,,,,,0.0
2025-10-19,211,인제,13.6,10.0,19.9,,1.0,3.4,230,8.6,230,80.5,49,1421,,,,,2.9,,,,,,999.4,1023.6,12.3,4.9,10.0,16.1,,,,,,,,,907,,1420,1025.7,0135,1349,360,1427,,,1019.9,1410,2332,5.4,,11.1,,,,,,,4.3
2025-10-20,211,인제,10.3,8.4,11.9,,2.6,5.3,20,10.9,20,75.5,64,1052,,,,,6.6,,,,,,1003.7,1028.3,9.4,7.4,6.1,13.0,,,,,,,,,2233,,0422,1029.8,2125,1051,50,0605,,,1025.0,0001,2239,5.2,,11.0,,,,,,,0.1
2025-10-21,211,인제,9.9,6.7,14.5,,1.5,4.2,50,7.9,70,81.5,60,1323,,,,,2.5,,,,,,1005.2,1029.8,9.7,5.1,6.6,12.9,,,,,,,,,1273,,1313,1031.4,2241,1413,50,1317,,,1027.3,1406,0658,3.5,,11.0,,,,,,,4.6
2025-10-22,211,인제,10.7,5.4,15.6,,2.4,4.9,20,9.3,20,80.6,60,1332,,,,,3.9,,,,,,1005.5,1030.1,10.2,5.1,7.3,13.0,,,,,,,,,2057,,1517,1031.9,0802,1330,50,1406,,,1028.2,1426,0407,2.2,,11.0,,,,,,,3.4
2025-10-23,211,인제,12.7,9.6,18.7,0.0,2.4,5.3,20,10.4,20,76.1,50,1303,,,,,4.1,,,,,,1004.3,1028.7,11.0,6.1,8.3,14.4,,,,,,,0.0,,2033,,1909,1030.1,0158,1237,20,1536,0.0,,1025.9,1338,0652,7.1,,10.9,,,,,,,5.1
2025-10-24,211,인제,12.4,8.6,16.7,0.0,1.9,4.2,20,8.4,20,78.1,57,1433,,,,,4.1,,,,,,1002.8,1027.2,11.1,5.4,8.5,14.7,,,,,,,0.0,,1664,,1144,1030.1,0104,1500,20,1158,0.0,,1024.9,1530,0300,4.6,,10.9,,,,,,,1.6
2025-10-25,211,인제,12.2,8.3,18.3,0.0,0.9,2.7,160,5.5,200,80.9,50,1419,,,,,5.4,,,,,,997.4,1021.6,11.2,7.6,8.6,15.1,,,,,,,0.0,,817,,1232,1025.1,0001,1314,360,1151,0.0,,1018.5,1547,0317,4.5,,10.9,,,,,,,4.8
2025-10-26,211,인제,11.3,8.2,15.4,0.1,1.3,3.3,200,6.9,230,74.0,34,1210,,,,,4.8,,,,,,993.3,1017.5,9.6,6.5,6.2,13.4,,,,,,,0.1,,1155,,1221,1020.8,0006,1127,180,1226,0.1,,1015.9,1539,2153,3.9,,10.8,,,,,,,0.9
2025-10-27,211,인제,6.5,1.4,10.8,0.0,1.8,4.7,160,11.9,180,44.9,20,1403,,,,,0.1,,,,,,995.8,1020.6,4.1,0.3,-5.8,10.0,,,,,,,,,1515,,1132,1024.8,2349,0042,200,1144,,,1015.9,0002,2359,-5.1,,10.8,,,,,,,8.1
2025-10-28,211,인제,4.4,-2.2,12.5,,1.0,3.7,230,7.6,230,61.4,22,1311,,,,,0.0,,,,,,1002.9,1028.0,4.8,0.0,-3.5,7.2,,,,,,,,,870,,1639,1031.3,2356,1422,200,1406,,,1024.8,0001,0603,-8.8,,10.7,,,,,,,7.9
2025-10-29,211,인제,7.2,0.2,15.5,,0.6,2.4,180,4.8,230,73.6,40,1227,,,,,2.3,,,,,,1004.9,1029.8,7.3,2.4,2.2,9.7,,,,,,,,,554,,1350,1033.0,0726,1327,50,1350,,,1026.8,1506,0322,-4.5,,10.7,,,,,,,5.5
2025-10-30,211,인제,8.8,2.4,17.7,,0.8,2.9,180,6.9,180,75.3,35,1506,,,,,0.9,,,,,,1001.4,1026.1,8.0,5.6,3.7,11.5,,,,,,,,,690,,1556,1029.4,0224,1516,360,1558,,,1022.6,1536,0457,-2.3,,10.7,,,,,,,5.8
2025-10-31,211,인제,11.1,4.8,18.4,0.0,0.8,2.1,70,3.6,90,77.9,49,1337,,,,,7.3,,,,,,993.3,1017.5,10.1,8.0,6.9,13.0,,,,,,,0.0,,674,,1209,1024.9,0001,1436,20,1210,0.0,,1012.4,2354,0532,0.0,,10.6,,,,,,,3.4
2025-11-01,211,인제,11.8,8.6,16.1,2.9,1.5,4.6,230,10.0,230,63.9,31,1432,,,,,4.9,,,,,,987.3,1011.4,8.5,5.9,4.3,12.8,,,,,,,,,1266,,1441,1013.1,2223,1402,200,1436,,,1009.5,1457,2241,5.2,,10.6,,,,,,,4.4
2025-11-02,211,인제,6.7,1.4,11.0,0.0,1.8,4.7,230,10.7,230,57.6,31,1510,,,,,0.9,,,,,,993.2,1017.9,5.5,2.8,-1.8,8.1,,,,,,,,,1527,,1457,1025.7,2352,1408,200,1040,,,1012.8,0006,2344,-4.4,,10.6,,,,,,,4.6
2025-11-03,211,인제,4.5,-1.5,14.0,,0.7,2.2,200,4.6,200,67.0,28,1501,,,,,0.0,,,,,,1003.8,1029.0,5.3,0.0,-1.9,7.4,,,,,,,,,624,,1522,1031.9,0825,1518,360,1406,,,1025.7,0001,0531,-6.9,,10.5,,,,,,,7.9
2025-11-04,211,인제,6.9,1.0,15.8,,0.8,3.6,180,7.7,250,70.9,30,1418,,,,,1.5,,,,,,1001.9,1026.8,6.7,2.0,1.2,9.4,,,,,,,,,687,,1236,1029.6,0017,1520,20,1406,,,1023.5,1517,0400,-4.3,,10.5,,,,,,,6.5
2025-11-05,211,인제,7.1,0.6,17.2,,0.8,2.2,180,4.2,180,76.5,38,1441,,,,,0.0,,,,,,1000.7,1025.5,7.3,0.0,2.5,9.4,,,,,,,,,684,,1419,1028.4,0835,1508,360,1420,,,1021.7,1514,0707,-4.1,,10.5,,,,,,,7.8
2025-11-06,211,인제,8.0,3.0,18.0,,0.7,2.1,200,3.8,200,80.0,43,1447,,,,,1.1,,,,,,1000.7,1025.4,8.3,3.9,4.3,10.4,,,,,,,,,641,,1315,1027.8,0907,1452,360,1334,,,1022.0,1519,0317,-2.1,,10.4,,,,,,,4.4
2025-11-07,211,인제,9.5,2.9,18.1,,1.7,4.9,20,8.9,50,76.8,39,1343,,,,,1.9,,,,,,1002.1,1026.7,8.8,3.8,5.1,10.2,,,,,,,,,1458,,1554,1028.6,0834,1354,20,1602,,,1023.8,1346,0634,-1.4,,10.4,,,,,,,5.0
